time[s], delta_E_total[W/m^3], delta_E_cx[W/m^3], delta_E_el[W/m^3]
  1.860000E-006, -1.294055E+006, -2.242582E+006,  9.485270E+005
  1.870000E-006, -1.451954E+006, -7.702499E+005, -6.817041E+005
  1.880000E-006, -5.581480E+006, -3.382216E+006, -2.199264E+006
  1.890000E-006, -6.585469E+006, -2.032968E+006, -4.552500E+006
  1.900000E-006, -2.765624E+006, -1.802423E+006, -9.632011E+005
  1.910000E-006, -7.098418E+005, -8.758657E+005,  1.660239E+005
  1.920000E-006,  1.927579E+006, -5.802806E+004,  1.985607E+006
  1.930000E-006,  9.073419E+005,  2.220448E+006, -1.313106E+006
  1.940000E-006, -1.299618E+006, -9.824502E+005, -3.171674E+005
  1.950000E-006,  4.961389E+006,  2.531318E+006,  2.430071E+006
  1.960000E-006,  7.421504E+006,  4.585208E+006,  2.836296E+006
  1.970000E-006,  2.207618E+006,  7.750169E+005,  1.432601E+006
  1.980000E-006, -1.980027E+006, -9.195694E+005, -1.060457E+006
  1.990000E-006, -4.181192E+006, -3.828171E+006, -3.530211E+005
  2.000000E-006, -3.782091E+006, -2.359668E+006, -1.422423E+006
  2.010000E-006, -3.114811E+006, -1.368998E+006, -1.745812E+006
  2.020000E-006, -9.157322E+004, -1.484954E+004, -7.672368E+004
  2.030000E-006,  1.276639E+006,  1.519736E+006, -2.430965E+005
  2.040000E-006, -1.670482E+006, -4.615749E+005, -1.208907E+006
  2.050000E-006, -3.120514E+006, -2.406954E+006, -7.135597E+005
  2.060000E-006,  8.349456E+005,  1.516552E+006, -6.816068E+005
  2.070000E-006, -1.895692E+006, -9.213036E+005, -9.743889E+005
  2.080000E-006, -1.441461E+006, -2.288532E+006,  8.470713E+005
  2.090000E-006,  1.923224E+006,  8.832885E+005,  1.039936E+006
  2.100000E-006, -1.389985E+006, -1.510880E+006,  1.208951E+005
  2.110000E-006, -8.122237E+005, -9.019465E+004, -7.220291E+005
