# time[s], delta_E_avg[eV], delta_E_cx_avg[eV], delta_E_el_avg[eV]
  2.870000E-006, -5.021096E-003,  6.462139E-004, -5.667310E-003
  2.880000E-006, -9.089311E-003, -7.938163E-003, -1.151148E-003
  2.890000E-006,  1.796593E-002,  2.004396E-002, -2.078036E-003
  2.900000E-006, -5.215584E-003, -1.323662E-003, -3.891923E-003
  2.910000E-006,  4.900963E-003,  4.584615E-003,  3.163477E-004
  2.920000E-006, -4.538812E-003, -2.290688E-003, -2.248124E-003
  2.930000E-006,  8.930384E-004,  3.295928E-003, -2.402890E-003
  2.940000E-006, -9.278388E-003, -5.057152E-003, -4.221236E-003
  2.950000E-006, -6.614722E-003, -9.102575E-003,  2.487853E-003
  2.960000E-006,  1.087989E-002,  9.004911E-003,  1.874980E-003
  2.970000E-006,  5.768676E-003,  1.434053E-002, -8.571858E-003
  2.980000E-006, -1.148192E-003, -2.458779E-004, -9.023145E-004
  2.990000E-006,  1.771364E-002,  1.899677E-002, -1.283137E-003
  3.000000E-006,  1.484294E-004,  1.203310E-003, -1.054880E-003
  3.010000E-006, -9.307621E-003, -6.114151E-003, -3.193470E-003
  3.020000E-006, -2.817750E-002, -1.995270E-002, -8.224800E-003
  3.030000E-006,  1.859154E-002,  1.704572E-002,  1.545818E-003
  3.040000E-006,  1.351501E-003, -4.785821E-004,  1.830083E-003
  3.050000E-006, -6.194209E-003, -2.087073E-003, -4.107136E-003
  3.060000E-006,  6.961792E-003,  7.820778E-003, -8.589853E-004
  3.070000E-006,  1.515654E-003, -1.837241E-003,  3.352895E-003
  3.080000E-006, -8.461742E-003, -3.264798E-003, -5.196945E-003
  3.090000E-006,  1.733019E-003, -9.128937E-004,  2.645913E-003
  3.100000E-006,  3.924692E-003,  3.416917E-003,  5.077747E-004
  3.110000E-006,  6.491463E-003,  6.642837E-003, -1.513738E-004
  3.120000E-006, -7.654983E-003, -2.788159E-003, -4.866824E-003
  3.130000E-006,  4.732885E-003,  7.000258E-003, -2.267373E-003
  3.140000E-006, -1.750403E-002, -6.708899E-003, -1.079513E-002
  3.150000E-006, -1.503713E-002, -4.414516E-003, -1.062262E-002
  3.160000E-006, -1.662281E-003, -7.908066E-003,  6.245785E-003
  3.170000E-006,  1.998390E-003,  5.898206E-003, -3.899816E-003
  3.180000E-006,  1.489084E-004, -2.013955E-003,  2.162863E-003
  3.190000E-006,  1.431425E-002,  1.213393E-002,  2.180322E-003
  3.200000E-006, -5.685632E-003, -2.875935E-003, -2.809697E-003
  3.210000E-006, -8.437014E-003, -5.710043E-003, -2.726971E-003
  3.220000E-006, -5.897173E-003,  2.806973E-003, -8.704147E-003
  3.230000E-006,  7.608808E-003,  1.381423E-004,  7.470666E-003
  3.240000E-006, -2.775082E-003, -1.103584E-003, -1.671498E-003
  3.250000E-006, -1.200859E-002, -1.334697E-002,  1.338383E-003
  3.260000E-006,  1.163869E-002,  1.520905E-002, -3.570363E-003
  3.270000E-006, -1.673221E-003, -5.979644E-006, -1.667242E-003
